# A. Ravlić, Y. Saito, and W. Nazarewicz in preparation (2025).
# Calculations with axially-deformed RHB+pnQRPA using the DD-PCX interaction (ver1.0).
# Generated: 2025-10-29 16:18:43
#
# Columns:
#   N          : Neutron number.
#   Z          : Proton number.
#   E(beta)    : Binding energy (MeV) for the min-E configuration
#   beta2      : Mass quadrupole deformation beta2 (dimensionless) at min-E.
#   Q          : beta- Q-value (MeV).
#   HL_log10   : log10 of the total half-life (log10 seconds).
#   FF_percent : % contribution of first-forbidden (FF) transitions to the total decay rate,
#
# N Z E(beta) beta2 Q HL_log10 FF_percent
42 24 -540.00246000 -0.00005866 12.14635000 -1.704343 2.45
43 24 -542.13054000 0.15655862 15.08425000 -1.778174 2.60
44 24 -546.11729000 0.20751936 14.05829000 -1.846651 4.02
45 24 -548.47346000 0.22034436 16.39645000 -1.949054 9.09
46 24 -551.32399000 0.22734163 16.55879000 -2.029053 13.74
47 24 -552.58527000 0.26398010 18.86876000 -2.102777 18.29
48 24 -554.76320000 0.24539467 18.55692000 -2.207732 25.71
49 24 -555.41316000 0.21617075 20.62823000 -2.314054 35.11
50 24 -556.98373000 -0.00005613 20.28272000 -2.451164 45.99
51 24 -557.05656000 0.10606758 22.37032000 -2.486250 44.59
52 24 -558.12866000 0.15459161 21.68169000 -2.536577 46.15
53 24 -557.80892000 0.14264412 23.41411000 -2.594626 49.73
54 24 -558.53180000 0.13451746 22.69525000 -2.639049 49.13
55 24 -557.86115000 0.00545343 24.40270000 -2.654272 50.59
56 24 -558.24059000 0.05961074 23.59810000 -2.702165 50.95
31 25 -488.83328000 0.24570433 NaN NaN NaN
32 25 -497.47557000 0.23635162 1.60207000 2.576495 0.00
33 25 -504.20990000 0.23077818 4.35526000 2.606495 0.00
34 25 -511.88903000 0.21761486 4.21963000 1.011726 0.02
35 25 -517.66563000 0.20181349 6.89235000 0.628119 0.09
36 25 -524.75665000 0.17274957 6.29259000 -0.056680 0.14
37 25 -530.01527000 0.11319570 8.72826000 -0.772898 0.05
38 25 -537.10181000 0.02962259 7.62955000 -1.136053 0.02
39 25 -541.70377000 -0.05348232 10.79511000 -1.260842 0.00
40 25 -548.57776000 0.00900927 9.18613000 -1.474739 0.03
41 25 -551.36681000 -0.04469384 14.01465000 -1.590747 0.49
42 25 -556.43279000 0.02480733 12.32235000 -1.595177 1.68
43 25 -559.39358000 0.15846522 15.15148000 -1.620625 1.08
44 25 -564.08791000 0.20143181 13.76909000 -1.646412 2.38
45 25 -567.10078000 0.21240090 15.72592000 -1.744828 1.69
46 25 -570.67203000 0.21607295 15.66562000 -1.826856 10.16
47 25 -572.53812000 0.20222612 18.06235000 -1.904362 14.27
48 25 -575.25939000 0.22490034 18.10749000 -2.000701 25.04
49 25 -576.48445000 0.22139155 20.10051000 -2.107210 35.80
50 25 -578.64488000 0.01656603 19.83619000 -2.345741 43.61
51 25 -579.02835000 0.21408992 23.00165000 -2.328936 46.25
52 25 -580.44103000 0.20802288 21.96251000 -2.385927 45.88
53 25 -580.44505000 0.18776617 23.70975000 -2.463624 49.94
54 25 -581.48185000 0.19219477 22.93792000 -2.534366 49.68
55 25 -581.05669000 0.18303892 24.64851000 -2.588450 52.83
56 25 -581.67961000 0.18558596 23.90310000 -2.654976 50.88
57 25 -580.86495000 0.04372219 25.69664000 -2.661442 49.80
58 25 -581.24976000 0.03825891 24.86648000 -2.709480 49.96
59 25 -580.16253000 -0.03678691 26.60917000 -2.748572 52.52
60 25 -580.28811000 0.03280224 25.67369000 -2.816378 50.00
31 26 -498.29564000 0.23668563 NaN NaN NaN
32 26 -507.78316000 0.23079273 NaN NaN NaN
33 26 -515.32666000 0.23015817 NaN NaN NaN
34 26 -523.77598000 0.21771307 0.57589000 3.072490 0.00
35 26 -530.26724000 0.19535836 3.35483000 2.455612 0.00
36 26 -537.96153000 0.14871283 2.95410000 8.394411 97.52
37 26 -543.94936000 0.08238471 5.55620000 0.387260 0.00
38 26 -551.71688000 -0.00015819 4.47161000 -0.783853 0.00
39 26 -556.98189000 -0.05058073 7.42213000 -0.898199 0.00
40 26 -564.59946000 -0.00001161 5.70888000 -0.957895 0.00
41 26 -567.97314000 -0.04125849 10.22027000 -1.058525 0.49
42 26 -573.76306000 -0.00006356 8.71135000 -1.101753 0.63
43 26 -577.07500000 0.08869062 11.93762000 -1.192341 1.13
44 26 -582.04470000 0.15314780 11.19642000 -1.263513 1.12
45 26 -585.55565000 0.18469482 13.22442000 -1.365290 2.05
46 26 -589.81847000 0.18448925 12.89958000 -1.438308 4.48
47 26 -592.58488000 0.17826457 15.06894000 -1.542998 10.43
48 26 -595.80296000 0.16025984 15.23587000 -1.643362 18.21
49 26 -597.69907000 0.08760597 17.44410000 -1.839794 38.82
50 26 -601.24800000 -0.00004060 16.58818000 -1.939697 45.60
51 26 -601.62154000 0.07216230 19.94847000 -2.019395 50.05
52 26 -603.37280000 -0.00020950 19.18513000 -2.058442 47.81
53 26 -603.63777000 0.11866949 20.97176000 -2.130876 51.40
54 26 -604.92320000 0.13548715 20.37108000 -2.250948 51.36
55 26 -604.80071000 0.14763452 22.07258000 -2.326452 55.01
56 26 -605.77959000 0.14764427 21.25979000 -2.414871 51.39
57 26 -605.33424000 0.00234384 23.01284000 -2.398803 55.13
58 26 -605.98970000 -0.00014025 22.19312000 -2.469745 53.84
59 26 -605.17980000 -0.02300880 23.96248000 -2.597830 51.86
60 26 -605.61421000 -0.00008155 23.07365000 -2.617878 51.77
33 27 -523.56987000 0.17539914 NaN NaN NaN
34 27 -532.84007000 0.16037024 NaN NaN NaN
35 27 -540.13363000 0.14993063 3.33069000 9.810117 35.42
36 27 -548.72356000 0.12047071 2.76103000 2.199320 0.00
37 27 -555.40649000 0.09392546 5.56382000 0.317258 0.00
38 27 -563.62202000 0.06970599 4.99161000 0.421743 0.03
39 27 -569.52634000 -0.06009372 8.28360000 0.451336 0.56
40 27 -577.41141000 0.02898845 6.97422000 0.466141 1.76
41 27 -581.69241000 0.05879824 11.57363000 -0.292851 0.37
42 27 -588.23062000 0.06151288 9.71006000 -0.366225 3.89
43 27 -592.45912000 0.09023105 12.71820000 -0.518124 5.13
44 27 -597.99807000 0.11370594 11.75936000 -0.601078 9.03
45 27 -601.93605000 0.14577324 13.86591000 -0.771616 6.28
46 27 -606.87182000 0.13838828 13.14996000 -0.864063 14.62
47 27 -610.25683000 0.14242833 15.35786000 -0.986151 8.50
48 27 -614.36117000 0.11002350 15.13440000 -1.106613 23.47
49 27 -617.05418000 0.08558288 17.66489000 -1.213036 20.51
50 27 -620.78801000 0.04034092 17.09437000 -1.435193 45.24
51 27 -621.77593000 0.08699840 21.30650000 -1.644450 61.74
52 27 -623.82753000 0.09578152 20.10732000 -1.797782 65.39
53 27 -624.51228000 0.11683507 21.85223000 -1.901672 68.15
54 27 -626.09129000 0.12466289 21.07473000 -2.001552 63.07
55 27 -626.25738000 0.13438700 22.75122000 -2.093155 66.39
56 27 -627.56508000 0.13080927 21.87133000 -2.201365 59.39
57 27 -627.40082000 0.12618874 23.64900000 -2.278862 59.48
58 27 -628.36028000 0.12208796 22.88389000 -2.382503 55.90
59 27 -627.90586000 0.11509484 24.57439000 -2.457237 56.03
60 27 -628.57552000 0.11163012 23.64436000 -2.553747 52.61
61 27 -627.72288000 0.11131746 25.61417000 -2.645113 51.40
62 27 -628.26448000 0.10076488 24.54325000 -2.714763 49.85
63 27 -627.08195000 0.10421995 26.64020000 -2.802940 49.35
64 27 -627.47433000 0.08773423 25.46554000 -2.860618 48.11
65 27 -626.12134000 0.08072849 27.62353000 -2.928780 48.93
66 27 -626.27036000 0.06797596 26.48861000 -2.990059 47.37
67 27 -624.60234000 0.04819601 28.85476000 -3.050575 48.79
68 27 -624.61993000 0.04644174 27.62510000 -3.109469 47.42
69 27 -622.69325000 0.04637405 30.11588000 -3.153699 49.92
70 27 -622.38279000 0.03231612 28.44219000 -3.211044 48.60
