# A. Ravlić, Y. Saito, and W. Nazarewicz in preparation (2025).
# Calculations with axially-deformed RHB+pnQRPA using the DD-PC1 interaction (ver1.0).
# Generated: 2025-11-03 07:18:58
#
# Columns:
#   N          : Neutron number.
#   Z          : Proton number.
#   E(beta)    : Binding energy (MeV) for the min-E configuration
#   beta2      : Mass quadrupole deformation beta2 (dimensionless) at min-E.
#   Q          : beta- Q-value (MeV).
#   HL_log10   : log10 of the total half-life (log10 seconds).
#   FF_percent : % contribution of first-forbidden (FF) transitions to the total decay rate,
#
# N Z E(beta) beta2 Q HL_log10 FF_percent
45 27 -604.92446000 0.15931342 12.58534000 -0.900888 2.01
46 27 -609.92494000 0.15148971 12.11106000 -0.973357 5.62
47 27 -613.74774000 0.14941009 13.96329000 -1.144915 2.78
48 27 -617.89497000 0.12094113 14.08397000 -1.095897 22.21
49 27 -621.01054000 0.08775675 16.32497000 -1.187868 19.53
50 27 -624.93141000 0.04209962 16.10499000 -1.499006 53.32
51 27 -626.09637000 0.09227675 20.26400000 -1.658347 63.97
52 27 -628.09778000 0.11688203 19.25345000 -1.772198 62.73
53 27 -629.05044000 0.13812364 20.54953000 -1.877400 66.08
54 27 -630.83299000 0.16227537 19.74354000 -2.020129 57.63
55 27 -631.57723000 0.17541441 20.85542000 -2.159216 55.35
56 27 -633.15020000 0.19157328 20.01454000 -2.297316 47.62
57 27 -633.18516000 0.20483081 21.80735000 -2.328368 51.02
58 27 -634.67749000 0.18390598 21.02032000 -2.458269 46.16
59 27 -634.73498000 0.17364295 23.02222000 -2.519585 46.67
60 27 -635.78789000 0.16494209 22.33403000 -2.593119 46.02
61 27 -635.56999000 0.14854328 23.96270000 -2.646054 47.30
62 27 -636.52492000 0.14041107 23.19733000 -2.709934 46.96
63 27 -636.15880000 0.12772958 24.71138000 -2.768991 47.92
64 27 -636.87582000 0.11078061 23.93497000 -2.813915 48.82
65 27 -636.34074000 0.09448671 25.57635000 -2.864240 50.53
66 27 -637.04922000 0.07934673 24.73539000 -2.921722 49.79
67 27 -636.37731000 0.05897219 26.54077000 -2.968497 50.34
68 27 -637.07102000 0.04585856 25.68482000 -3.027443 49.99
69 27 -636.07001000 0.03937309 27.93763000 -3.078116 52.66
70 27 -636.78329000 0.01682791 26.42595000 -3.150659 52.93
34 28 -542.89198000 -0.22449549 NaN NaN NaN
35 28 -550.82739000 -0.17659096 NaN NaN NaN
36 28 -560.40824000 -0.13250794 NaN NaN NaN
37 28 -568.24884000 0.00019565 NaN NaN NaN
38 28 -577.74866000 0.00010998 NaN NaN NaN
39 28 -585.37585000 0.00002643 NaN NaN NaN
40 28 -594.16767000 0.00000233 -0.44313000 8.811851 93.52
41 28 -599.03282000 -0.03560284 3.80233000 3.586838 85.56
42 28 -605.88800000 0.00005653 2.81909000 3.072492 98.45
43 28 -610.70950000 -0.02204947 5.54180000 2.350729 89.72
44 28 -616.72780000 0.00019749 5.53862000 2.053589 87.26
45 28 -621.25400000 0.00233353 7.97054000 1.622758 83.36
46 28 -626.92903000 0.00032273 8.12824000 1.343156 79.67
47 28 -631.19694000 0.03153897 9.98069000 1.003799 71.91
48 28 -636.55351000 0.00019925 9.43187000 0.778101 71.81
49 28 -640.25440000 0.04822174 10.99377000 0.473342 62.52
50 28 -645.57837000 0.00009652 9.96955000 0.314850 64.62
51 28 -646.56923000 0.04282237 14.24678000 -0.833767 95.54
52 28 -648.81797000 -0.00008622 13.98342000 -1.104435 74.26
53 28 -649.79453000 0.02352759 15.82647000 -1.346847 79.51
54 28 -651.65065000 -0.00018931 15.65891000 -1.524147 69.02
55 28 -652.38274000 0.04656577 17.64292000 -1.708256 69.37
56 28 -654.21051000 -0.18556117 17.12860000 -2.046287 45.35
57 28 -654.91581000 -0.20586916 18.59482000 -2.110441 52.95
58 28 -656.97520000 -0.23466371 17.50744000 -2.290670 43.27
59 28 -657.33992000 -0.21859524 19.70869000 -2.363109 47.96
60 28 -658.75069000 -0.20499639 18.93134000 -2.442844 46.01
61 28 -658.94025000 -0.19311529 20.60276000 -2.511294 48.44
62 28 -660.08818000 -0.17474335 19.96986000 -2.584612 47.00
63 28 -660.02879000 -0.16065738 21.52261000 -2.639767 50.44
64 28 -661.13509000 -0.12798598 20.58220000 -2.710508 47.46
65 28 -661.00261000 -0.11078552 22.14428000 -2.769512 48.55
66 28 -662.13608000 0.00005421 21.06182000 -2.816690 46.38
67 28 -661.97384000 -0.04177193 22.35402000 -2.886152 48.38
68 28 -663.22564000 0.00001011 20.98448000 -2.936085 48.11
69 28 -662.42724000 -0.03431025 23.04842000 -3.003327 50.79
